t=2025-03-14T18:24:38-0700 lvl=info msg="open config file" path=/home/noah/Sidework/repos/protondemand/ngrok.yml err=nil
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=4a56941eb6d3 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61626
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=1cc6e0e5dae5 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61627
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=7af42d534538 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61627
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=c32d28a3c742 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61627
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=6c70e2a79be2 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61632
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=d53a58a2253f l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61632
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=870503bdb642 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61632
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=43959ed151b5 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61632
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=cbad6b78d292 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61632
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=367c329bf78c l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61634
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=619be0f58879 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61634
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=362c56e41da0 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61634
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=79101e74761c l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61634
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=8bd3cbcc1a56 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61637
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=b19c28437683 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61637
t=2025-03-14T18:25:50-0700 lvl=info msg="join connections" obj=join id=1b36862a0bb5 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61642
t=2025-03-14T18:25:50-0700 lvl=info msg="join connections" obj=join id=376093b1f697 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61642
t=2025-03-14T18:25:50-0700 lvl=info msg="join connections" obj=join id=dfb49163d6f1 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61642
